level_0,index,textDisplay
0,0,若干上回ってた唱に再生数置いてかれたけど依然として伸びてるまもなく5000万再生
1,1,もうロリコンと言われてもいいや
2,2,可愛いけど歌詞がね👀
3,3,とても気に入りました
4,4,LonelyとLovely掛けててまじすこ
5,5,明日には5000万回視聴・・・だと今言っとくよおめでとう
6,6,あなたの歌が大好きです💖たくさんのフォロワーさんおめでとうございます
7,7,我喜欢你的歌它们非常好
8,8,学校の給食中に流れてきて気まずくなると思ったけどめっちゃ盛り上がって男子校でよかったと思った
9,9,これを会社で聞いてたら事務のお姉さんから汚物を見るような目で見られました…
10,10,ほんと中毒性がすごい曲だよなぁ
11,11,もう何十回と聞きにきてるけど全く中毒性はないよな
12,12,合いの手罪袋なのかな
13,13,なんか懐かしさを感じる
14,14,好🥹👏🏽
15,15,その美しさ
16,16,イエスはあなたを愛しています❤️彼は両手を広げてあなたを待っていますいつか戻ってくるからですこの福音を広めてください🙏🏻
17,17,そろそろ英語バージョン出したほうがいいんじゃないかというくらいバズってるな
18,18,今更だけど9歳と救済でかけてるのかー
19,19,とうの昔深層に封印されしニコ厨魂が呼び返される様な歌だな
20,20,泥水で口を洗え≒お前の口臭は泥水以下やぞなの草生える
21,21,このペースで5000万は・・・1億行くんじゃないか
22,22,マジレスするとやっぱりおかしい
23,23,そうですね!残念ながら日本では上映禁止になってしまいました
24,24,おめでとうございますあなたの音楽がブラジルに到着しました!
25,25,ルール34のおかげで全部見えてるロリなのに大人だと思うよIT CAN'T BE AAAAAAAAAA
26,26,日本語が少し分かる韓国人ですこの歌を韓国のスーパーで聞いた時の衝撃を今でも忘れていません
27,27,とんでもない勢いで伸びてる笑
28,28,ういままチャンネルエグいくらい伸びてるのマジ草
29,29,これを妹に歌って踊って欲しいと頼んだら無事に無視されましたありがとうございますういちゃんありがとう私の妹
30,30,ロンリーあとちょい5000万コーリーン
31,31,公開2か月で5000万再生間近すげーな
32,32,めえんかんとぁかnぁかんしおn💓🎵👮
33,33,私はロリではありません
35,35,音源お借りさせて頂きます🙇
36,36,音源お借りさせて頂きます🙇
37,37,たとえ良い曲だとしてもこの曲が誰を侮辱しているのかはわかっている
38,38,音楽が大好きでした
39,39,彼女のせいで私はただの人間になってしまう
40,40,でましあどつrびおぺろあぁゔぇsこんらぞn
