index,textDisplay
0,この曲が半年たってもづっと見られます❤❤❤
1,これ黒反転側のアイはアイを演じてるルビーって解釈もありですかね瞳の色がそれっぽい気が
2,まだ伸びてんのか
3,あぁついに人気3位になってしまったまだまだ伸びてほしいのに…
4,J'アドレセッテチャンソン
5,アイドル1年後10億再生いってそう
6,0:11髪の毛が黒瞳が赤のアイコスプレしたルビーだったりして
7,この歌は生しさが凄まじいがそれが一番の魅力だ
8,まだよく分からないけどニノちゃんの歌でもあるんだねどーして
9,ひすねくめうそすよろせゆすむいへせむすふきす!
10,YOASOBIにしか歌えない歌って感じがするすごくいい
11,あぁHIKAKINが頭によぎる
12,Youtube日本の曲再生回数ランキング6位になりましたおめでとうございます5位まであと1億
13,イlオッヒㇱㇱㇱ
14,ルーラーオブザワールド馬の名前ですよ笑
15,あーあーあーテストコメントテストコメント本日の再生数は821485回です876228回なので先週比は93.8%です……いけたか
16,"345,678,910の瞬間を見逃すな"
17,3億⋯凄すぎます‼️
18,推しの子の影響をほぼ受けずに曲として好きだから2期が始まろうが3期が始まろうが死期(俺の)が近づこうが聴き続けるんだよ
19,今年中に4億あり得そう紅白パワーで
20,落ち着いたかな
21,なんか最初の男性の声みたいなところホーハイスルメホーハイスルメにしか聞こえない
22,これだけ世界的に存在を示したからこそ反戦のためのテーマ平和を祈るアイコンとして曲を作曲して欲しいそりゃ反感もあるかもしれないしかしそれが完成した時日本のYOASOBIは完成すると信じてる愛と平和を世界発信した時タブーではなく永遠のテーマを知らしめた存在になると信じてるリアリティのある方から嘘と言われるかもしれないでも世界平和を日本は発信するべきだしそれを放てる存在であるYOASOBIが発信してこそ意味があるもう一度Johnが現れて世界平和を唱えても良い
23,順位が戻った万歳‼︎この調子で1位を奪還してくれ‼︎
24,自分もこの曲はめちゃくちゃ好き😆カラオケでよく歌ってはテンションぶち↑↑てます😆
25,4位から3位おーまだまだ人気❢
26,たった六ヶ月で3.4億再生すげ
27,これが日本の人気な曲か
28,推しの子の全然内容知らなくて最近になってようやくアニメ見たんだけどそれ以降この曲の良さが爆上がり……ただでさえ癖になる曲&歌なのになんなんだこの原作の再現力
29,是非お時間の有る時にずんだもんVer.(むらさきずきん様)の動画を視聴してみて頂きたく思います😙
30,推しの子大っ嫌いだし子の曲も大っ嫌い早くなくなってくれ
31,那はできます✨
32,日本人が1人3回見ないとこの再生回数にならないのクソワロタ
33,6ヶ月で3.4億回はやばすぎ
34,嘘付いてるからアイドルじゃあないって思う
35,0:11これ明らかに目の大きさと目の色が違うんよねルビーの星は左目...最新話見ててこれわかって作ってたなら凄すぎる
36,YOAsobi・って言う人も好きですー❤
37,推しの子の好きな人はかなです❤
38,漫画の方で黒アイってウィッグ被ったルビーに見えるってコメ見たのでMV見にきた
39,消費されるリズム2023
40,この曲は素晴らしいです日本の曲なので私のお気に入りの曲です
42,だいすき😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘❤💙💙❤💙❤💙❤💙😘😘😘😘😘
43,あれ昨日再生数報告してない10月17日火曜日の再生数は806653回です10月10日の再生数が868269回なので先週比は92.9%でした
44,3億4500万回再生おめでとう🎉
45,今月中に3億5500万まで行かないと年内4億ピンチなんだ頑張れ野郎ども
46,僕は今朝は麦茶を一杯(それは内緒❤️)
47,さぁあと478万だ
48,good(マサキ😊)
49,100年たっても削除しないでね運動会でやる思い出だから
50,王林ちゃんに是非とも歌ってもらいたい今世紀最高のアニソン
51,何度聞いてもやっぱり完成度が異常に高い
52,毎日自然と歌ってる
53,毎日これ歌ってるんですが最後ら辺喉が痛くなってくるんでマジで喉潰れるんですが何で最後まで綺麗な声で歌えるYOASOBIさん凄すぎです
54,テレビで1位が発表されてその度やっぱ推しの子最高ーって叫んでますただのヤバイ奴
55,歌ってみた投稿していいですか
56,Простошикарно个手机洗不舍得技术的话精细化простошикарно哈这就是这么好听好听
57,2024年も聞くと決めている人いる
58,4億回再生🎉
59,作品を読んでアニメを見てそしてアイドルのMVを聴くと涙腺が緩くなります素晴らしい作品をありがとうございます
60,2:49ここ初見聞いた時私はそう二人のアイドルに聞こえたんだけど欲張りなんや…二人のアイドルって聞いた時アクアくんとルビーちゃんを指してるのかなって思った
61,さぁあと495万だ
62,あと500万再生で35億再生か……
63,おしのこのキャラクター可愛いですよねナイナイの尾岡村さんがオールナイトニッポンで歌っていましたけど面白かったですよねあれもないないないない岡村さんの事ですかぐるナイで共演するかもしれませんよ
64,のほ
65,私はこの曲を毎日聞いています
66,痺れる👍❤️❤️❤️❤️❤️❤️😙😙😙😙
67,YOASOBIアイドルOfficial Music Video344M views ·6 months ago#49 GLOBAL TOP MUSIC VIDEO...moreAyase / YOASOBI5.95MSubscribe3.7MShareSaveReportComments131KらるまるRaruMaruアニメ第1期はもう終了しているのにまだ人気が上がり続けるのマジで凄いこれもう第2期を覇権だろUp next7:00200時間かけてアイドルのフルバージョンが完成しました推しの子ピノの羽•1.9M viewsShorts remixing this videoDrawing Nezuko as Idol! #demonslayer #shorts #nezuko #oshinoko #kimetsunoyaiba #idol #art #drawing2.8M views최애의아이렌즈!! 아이💜루비🩷아쿠아🩵1.4M viewsLEARN Aqua's Pen Spinning Trick! ✍️🌀#shorts1.8M views推しの子×カラオケの鉄人ウエディングドレス姿の皆が可愛すぎて泣きそうOSHI NO KO9.7M viewsYoung John Wick613K viewsAnya 😄#shorts #anya #oshinoko #hoshikirarinko1.6M viewsМногиепросилитуториалэтойверсии🥺❤️#oshinoko #tutorial #звездноедитя1.1M viewsDrawing Ai Hoshino 🤩from Oshi no Ko || Coffe Art ☕#shorts #oshinoko #drawinganime6.3M views推しの子アイを食べられるアイシングクッキーにしてみた! OSHI NO KO Ai cookie decorating 최애의아이我推的孩子12M viewsHoshino Ai ❤️Oshi no Ko - Sculpting Anime Clay Art Figure29M views1:41Levi vs Beast Titan - Attack on Titan Season 3 | with Attack on Titan OSTAnime luna II•26M views1:36Film Red: I'm invincible #filmred #onepiece #utaAnitaisho•274K views3:20JEON SOMI (전소미) - `Fast Forward' M/VTHEBLACKLABEL•61M viewsLIVEファミレスを享受せよ今日も深夜から配信するしドリンクバーだってあるんだ儒烏風亭らでん#ReGLOSS Raden Ch.儒烏風亭らでん- ReGLOSS•7.2K watching3:35フィクションブルー歌ってみた・描いてみた/雨宿cover雨宿-amayado-•2.9K views1:48ブルアカMADブルーアーカイブ×勇者/YOASOBIかめ•13K views3:37Kagamine Len feat. the Girls+ ♂OriginalReol Official•15M views3:17Ariana Grande - Fantasize (Lyrics)EntertainerNew297K views8:57Subaru keep crossing the line while playing Hololive Suika GameHololive/Eng subSushi ClipsNew7.2K views14:04League Is Finally Getting Rid of Summoner NamesNecritNew34K views3:21Where Our Blue Is / Tatsuya Kitaniキタニタツヤ/ Tatsuya Kitani•27M viewsComments131KAdd a comment...@RaruMaru2 days agoアニメ第1期はもう終了しているのにまだ人気が上がり続けるのマジで凄いこれShow more repA good song that hits even harder after seeing the 1st episode
68,何回聴いても飽きないしマジで神曲すぎる
69,我太愛忍之子了我愛你的音樂
70,この曲毎日聴いてるからいつの間にか全部歌えるようになってる
71,ベースとリズムシンセの音の組み合わせや流れが心地良すぎる😂
