index,textDisplay
0,3:09推しの子を見てたのを思い出して泣きました😢
1,YOASOBIホーム→リリース欄で勇者聴けます
2,新曲勇者を聞いて戻ってきた人👍
3,この曲のおかげで高校最後の文化祭で完璧で究極のアイドルになれましたありがとうございます18歳男子高校生
4,本日の再生数は914101回です先週の今日が924378回なので先週比は98.9%です最近は高い先週比が続いていますがようやく下げ止まりか⁉️
5,9月27日水曜日の再生数は906188回です先週の水曜日が881961回なので先週比は102.7%で先週を上回りました🎉
6,勇者유출돼서슬프다😢
7,1日何十回聞いても飽きない神曲ですね🥰
8,3.27億再生おめでとう
9,私はいつもその曲を見ています
10,まさに千年に一度の名曲
11,この歌好きな人いいね押して
12,5ヶ月で3億再生
13,本日はまだ16回しか聴けてない(>_<)ノルマの20回までYOASOBIの違うMVを挟み達成する次第です<m(__)m>
14,ゲッタン
15,歌作詞作曲が素晴らしいのは言うまでもないけど作画も素晴らしすぎる…この映像のストーリーは圧巻の一言前から気になってけど作品中に出てくるフォントがまた凄いおそらくこの作品の為に作られたんだろうけど字から受ける感覚的なものがマッチしてる私の言葉では上手く表現できないのが残念😂
16,この調子だと今年中に4億行きそうな神曲✨
17,牛逼
18,勇者まで2時間待機中にこちらを10回ほど嗜んでおこうか
19,再生数ヤバっアニメ見た後にこの曲聴いたら泣いたわ
20,令和のMV 🥇TVアニソン🥇
21,マジで飽きない😂配信開始から半年経とうとしてのにマジで飽きない
22,いい曲です✨
23,他所様の動画行ってまでランキングがーとかやってんのいるなら恥ずかしいからやめてくれや
24,何回聴いても鳥肌やばい
25,運動会で踊ります
26,5ヶ月間もの間人気ランキング1位をキープしていたのまじで凄い🔥3位に下がっちゃったけどまだまだ伸びるといいな❤️‍🔥
27,廻廻奇譚抜いたね
28,この歌が1番好き❤️
29,ヤバヤバヤバ!!!!
30,Ayaseさいこ
31,勇者フル最高でした検索したらでてきました
32,MTV vma j 2023のvideo of the yearとsong of the yearどちらも受賞しそう
33,歌声がすごく綺麗そしてまじ神曲
34,3023年でも聞いてる人
35,打上花火も越すのも時間の問題か
36,ついにアイドルは人気順位が落ちたか1位の期間長かった
37,廻廻奇譚越したな
38,呪術廻戦超えた!これでアニソンは残すは打上花火のみ!
39,こんな神曲はじめて
40,やっぱり昨日と変わらず好きだな依存性ですが何か
41,YOASOBIアイドル326M --------------------- DAOKO ×米津玄師打上花火574M ¡LET'S DO IT!
42,覚醒したね❤
43,ざっくりとですが4億ー3.2億94日一日約85万再生すれば年4億は達成できるかななんか計算ミスってそうだけど
44,かわいい💞😊
45,ゲッター
46,さぁあと358万だ
