label,humanLabel,text,score
NEUTRAL,1,この曲が半年たってもづっと見られます❤❤❤,0.7825
NEUTRAL,0,これ黒反転側のアイはアイを演じてるルビーって解釈もありですかね瞳の色がそれっぽい気が,0.933
NEUTRAL,1,まだ伸びてんのか,0.8069
NEGATIVE,-1,あぁついに人気3位になってしまったまだまだ伸びてほしいのに…,0.9802
POSITIVE,0,J'アドレセッテチャンソン,0.5122
POSITIVE,0,アイドル1年後10億再生いってそう,0.7374
NEUTRAL,0,0:11髪の毛が黒瞳が赤のアイコスプレしたルビーだったりして,0.9361
POSITIVE,1,この歌は生しさが凄まじいがそれが一番の魅力だ,0.9795
NEUTRAL,1,まだよく分からないけどニノちゃんの歌でもあるんだねどーして,0.8429
POSITIVE,0,ひすねくめうそすよろせゆすむいへせむすふきす!,0.5392
POSITIVE,1,YOASOBIにしか歌えない歌って感じがするすごくいい,0.9866
NEUTRAL,0,あぁHIKAKINが頭によぎる,0.6978
POSITIVE,1,Youtube日本の曲再生回数ランキング6位になりましたおめでとうございます5位まであと1億,0.9842
NEUTRAL,0,イlオッヒㇱㇱㇱ,0.7802
NEUTRAL,0,ルーラーオブザワールド馬の名前ですよ笑,0.8114
NEUTRAL,0,あーあーあーテストコメントテストコメント本日の再生数は821485回です876228回なので先週比は93.8%です……いけたか,0.6307
NEGATIVE,0,"345,678,910の瞬間を見逃すな",0.7336
POSITIVE,1,3億⋯凄すぎます‼️,0.9745
POSITIVE,1,推しの子の影響をほぼ受けずに曲として好きだから2期が始まろうが3期が始まろうが死期(俺の)が近づこうが聴き続けるんだよ,0.7586
POSITIVE,0,今年中に4億あり得そう紅白パワーで,0.9827
NEUTRAL,0,落ち着いたかな,0.9517
NEGATIVE,0,なんか最初の男性の声みたいなところホーハイスルメホーハイスルメにしか聞こえない,0.7075
POSITIVE,1,これだけ世界的に存在を示したからこそ反戦のためのテーマ平和を祈るアイコンとして曲を作曲して欲しいそりゃ反感もあるかもしれないしかしそれが完成した時日本のYOASOBIは完成すると信じてる愛と平和を世界発信した時タブーではなく永遠のテーマを知らしめた存在になると信じてるリアリティのある方から嘘と言われるかもしれないでも世界平和を日本は発信するべきだしそれを放てる存在であるYOASOBIが発信してこそ意味があるもう一度Johnが現れて世界平和を唱えても良い,0.9134
POSITIVE,1,順位が戻った万歳‼︎この調子で1位を奪還してくれ‼︎,0.9708
POSITIVE,1,自分もこの曲はめちゃくちゃ好き😆カラオケでよく歌ってはテンションぶち↑↑てます😆,0.9868
POSITIVE,1,4位から3位おーまだまだ人気❢,0.9324
POSITIVE,1,たった六ヶ月で3.4億再生すげ,0.8891
NEUTRAL,1,これが日本の人気な曲か,0.9614
POSITIVE,1,推しの子の全然内容知らなくて最近になってようやくアニメ見たんだけどそれ以降この曲の良さが爆上がり……ただでさえ癖になる曲&歌なのになんなんだこの原作の再現力,0.8466
POSITIVE,0,是非お時間の有る時にずんだもんVer.(むらさきずきん様)の動画を視聴してみて頂きたく思います😙,0.8905
NEGATIVE,-1,推しの子大っ嫌いだし子の曲も大っ嫌い早くなくなってくれ,0.7362
NEUTRAL,0,那はできます✨,0.7229
NEUTRAL,1,日本人が1人3回見ないとこの再生回数にならないのクソワロタ,0.6801
NEGATIVE,1,6ヶ月で3.4億回はやばすぎ,0.8956
NEGATIVE,-1,嘘付いてるからアイドルじゃあないって思う,0.5537
POSITIVE,0,0:11これ明らかに目の大きさと目の色が違うんよねルビーの星は左目...最新話見ててこれわかって作ってたなら凄すぎる,0.7946
POSITIVE,1,YOAsobi・って言う人も好きですー❤,0.958
POSITIVE,0,推しの子の好きな人はかなです❤,0.5117
POSITIVE,0,漫画の方で黒アイってウィッグ被ったルビーに見えるってコメ見たのでMV見にきた,0.8026
NEUTRAL,0,消費されるリズム2023,0.7799
POSITIVE,1,この曲は素晴らしいです日本の曲なので私のお気に入りの曲です,0.9847
POSITIVE,1,だいすき😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘❤💙💙❤💙❤💙❤💙😘😘😘😘😘,0.9437
NEUTRAL,0,あれ昨日再生数報告してない10月17日火曜日の再生数は806653回です10月10日の再生数が868269回なので先週比は92.9%でした,0.7331
POSITIVE,0,3億4500万回再生おめでとう🎉,0.9626
NEGATIVE,0,今月中に3億5500万まで行かないと年内4億ピンチなんだ頑張れ野郎ども,0.8426
NEUTRAL,0,僕は今朝は麦茶を一杯(それは内緒❤️),0.8194
NEUTRAL,0,さぁあと478万だ,0.4957
POSITIVE,1,good(マサキ😊),0.6227
NEUTRAL,1,100年たっても削除しないでね運動会でやる思い出だから,0.7416
POSITIVE,1,王林ちゃんに是非とも歌ってもらいたい今世紀最高のアニソン,0.9836
NEUTRAL,1,何度聞いてもやっぱり完成度が異常に高い,0.5186
NEUTRAL,1,毎日自然と歌ってる,0.5361
POSITIVE,1,毎日これ歌ってるんですが最後ら辺喉が痛くなってくるんでマジで喉潰れるんですが何で最後まで綺麗な声で歌えるYOASOBIさん凄すぎです,0.9814
POSITIVE,1,テレビで1位が発表されてその度やっぱ推しの子最高ーって叫んでますただのヤバイ奴,0.8606
POSITIVE,0,歌ってみた投稿していいですか,0.9644
NEGATIVE,0,Простошикарно个手机洗不舍得技术的话精细化простошикарно哈这就是这么好听好听,0.6551
NEUTRAL,0,2024年も聞くと決めている人いる,0.8394
NEUTRAL,1,4億回再生🎉,0.7871
POSITIVE,1,作品を読んでアニメを見てそしてアイドルのMVを聴くと涙腺が緩くなります素晴らしい作品をありがとうございます,0.9782
NEUTRAL,1,2:49ここ初見聞いた時私はそう二人のアイドルに聞こえたんだけど欲張りなんや…二人のアイドルって聞いた時アクアくんとルビーちゃんを指してるのかなって思った,0.8107
POSITIVE,0,さぁあと495万だ,0.5346
NEUTRAL,0,あと500万再生で35億再生か……,0.8608
POSITIVE,1,おしのこのキャラクター可愛いですよねナイナイの尾岡村さんがオールナイトニッポンで歌っていましたけど面白かったですよねあれもないないないない岡村さんの事ですかぐるナイで共演するかもしれませんよ,0.9253
