token, yomigana, mean
あう, あう, au
尼, あま, amazon
痛車, いたしゃ, 
今北産業, いまきたさんぎょう,
イヤンホホ, いやんほほ, イヤホン 
インスコ, いんすこ, インストール 
うp, うぷ, アップロード
うp乙, うぽつ, アップロードお疲れ様
うぽつ, うぽつ, アップロードお疲れ様
大友, おおとも, 大きい友達
乙, おつ, お疲れ様
おまw, おま, お前
オワコン, おわこん, 終わったコンテンツ
希ガス, きがす, 気がする
キモオタ, きもおた, キモいオタク
ググる, ぐぐる, Googleで検索する
ググれ, ぐぐれ, Googleで検索しろ
香ばしい, こうばしい, 頭がおかしい
情弱, じょうじゃく, 情報弱者
ステマ, すてま, ステルスマーケッティング
ちょw, ちょ, ちょっと待って
ネトウヨ, ねとうよ, ネット右翼
ネトサヨ, ねとさよ, ネット左翼
ポチる, ぽちる, Amazonで購入
マ？, ま？, まじ？
マジレス, まじれす, マジでレスする
胸熱, むねあつ, 胸が熱くなる
リア充, りあじゅう, リアルが充実している
(ry, りゃく, 略
ggrks, ぐぐれかす, ググれカス
GJ, じーじぇー, グッドジョブ
JS, じぇーえす, 女子小学生
JC, じぇーしー, 女子中学生
JK, じぇーけー, 女子高校生
JD, じぇーでぃー, 女子大学生
ktkr, きたこれ, キタコレ
lol, えるおーえる, 笑い
OMG, おーえむじー, オーマイガー
ROM, ろむ, Read Only Member
thx, てぃーえいちえっくす, ありがとう
w, だぶりゅー, 笑
wtf, だぶりゅーてぃーえふ, なんてこった
アンチ, あんち, 嫌悪する人
炎上, えんじょう, 大多数から批判される
キタコレ, きたこれ, 待っていたものがきた
黒歴史, くろれきし, 無かったことにしたい過去
コピペ, こぴぺ, コピーアンドペースト
三次元, さんじげん, 現実世界
自宅警備員, じたくけいびいん, ニート
人権, じんけん, 持ってないと困難なキャラ
信者, しんじゃ, ファン
弾幕, だんまく, コメントが幕のように流れること
二次元, にじげん, アニメ・漫画
廃人, はいじん, ゲームにのめりこみすぎた人
メンヘラ, めんへら, メンタルヘルス
有能, ゆうのう, 有益な情報提供者
ワクテカ, わくてか, 何かを期待している様子
垢, あか, アカウント
ネ申, かみ, 神
鯖, さば, サーバー
鯖落ち, さばおち, サーバーがダウンする
儲, しんじゃ, 信者
厨二病, ちゅうにびょう, 中二病
ようつべ, ようつべ, YouTube
ワロタ, わろた, 笑った
中毒性,ちゅうどくせい, 癖になる
CM, しーえむ, コマーシャル
リピ, りぴ, リピート
ヤヴァイ, やゔぁい, やばい
カプヌ, かぷぬ, カップヌードル
スコ, すこ, 好き
すこ,すこ, 好き
ドチャ, どちゃ, めっちゃ
クオ, くお, クオリティ
w, わら, 笑い
きゅうくらりん, きゅうくらりん, きゅうくらりん
良, よ, 良い
まっさか, まっさか, まさか
オッス, おっす, 挨拶
かわちぃ, かわちぃ, 可愛い
かわちい, かわちい, 可愛い
ググる, ぐぐる, Googleで検索する
ググっ, ぐぐっ, Googleで検索する
ググら, ぐぐら, Googleで検索する
ググり, ぐぐり, Googleで検索する
ググれ, ぐぐれ, Googleで検索する
ググろ, ぐぐろ, Googleで検索する
ググん, ぐぐん, Googleで検索する
グンマー, ぐんまー, 群馬県民
