,label,humanLabel,text,score
0,NEUTRAL,1,この 曲 が 半年 たって もづっと 見 られ ます ❤ ❤ ❤ ,0.7825
1,NEUTRAL,0,これ 黒 反転 側 の アイ は アイ を 演じて る ルビー って 解釈 も あり です か ね 瞳 の 色 が それ っぽい 気 が ,0.933
2,NEUTRAL,1,まだ 伸びて ん の か ,0.8069
3,NEGATIVE,-1,あぁ ついに 人気 3 位 に なって しまった まだまだ 伸びて ほしい のに … ,0.9802
4,POSITIVE,0,J ' アドレセッテチャンソン ,0.5122
5,POSITIVE,0,アイドル 1 年 後 10億 再生 いって そう ,0.7374
6,NEUTRAL,0,0 : 11 髪 の 毛 が 黒 瞳 が 赤 の アイコスプレ した ルビー だったり して ,0.9361
7,POSITIVE,1,この 歌 は 生 しさ が 凄まじい が それ が 一番 の 魅力 だ ,0.9795
8,NEUTRAL,1,まだ よく 分から ない けど ニノ ちゃん の 歌 で も ある んだ ね どーして ,0.8429
9,POSITIVE,0,ひ すね くめ うそ す よろ せ ゆす むい へ せ むす ふき す ! ,0.5392
10,POSITIVE,1,YOASOBI に しか 歌え ない 歌 って 感じ が する すごく いい ,0.9866
11,NEUTRAL,0,あぁ HIKAKIN が 頭 に よぎる ,0.6978
12,POSITIVE,1,Youtube 日本 の 曲 再生 回数 ランキング 6 位 に なり ました おめでとう ございます 5 位 まで あと 1億 ,0.9842
13,NEUTRAL,0,イ l オッヒ ㇱ ㇱ ㇱ ,0.7802
14,NEUTRAL,0,ルーラー オブザ ワールド 馬 の 名前 です よ 笑 ,0.8114
15,NEUTRAL,0,あーあー あー テスト コメント テスト コメント 本日 の 再生 数 は 821485 回 です 876228 回 な ので 先週 比 は 93 .8 % です …… いけた か ,0.6307
16,NEGATIVE,0,"345 , 678 , 910 の 瞬間 を 見逃す な ",0.7336
17,POSITIVE,1,3億 ⋯ 凄 すぎ ます ‼ ️ ,0.9745
18,POSITIVE,1,推し の 子 の 影響 を ほぼ 受け ず に 曲 と して 好きだ から 2 期 が 始まろう が 3 期 が 始まろう が 死期 ( 俺 の ) が 近づこう が 聴き 続ける んだ よ ,0.7586
19,POSITIVE,0,今年 中 に 4億 あり 得そう 紅白 パワー で ,0.9827
20,NEUTRAL,0,落ち着いた か な ,0.9517
21,NEGATIVE,0,なんか 最初の 男性 の 声 みたいな ところ ホーハイスルメホーハイスルメ に しか 聞こえ ない ,0.7075
22,POSITIVE,1,これ だけ 世界 的に 存在 を 示した から こそ 反戦 の ため の テーマ 平和 を 祈る アイコン と して 曲 を 作曲 して 欲しい そりゃ 反感 も ある かも しれ ない しかし それ が 完成 した 時 日本 の YOASOBI は 完成 する と 信じて る 愛 と 平和 を 世界 発信 した 時 タブー で は なく 永遠の テーマ を 知ら しめた 存在 に なる と 信じて る リアリティ の ある 方 から 嘘 と 言わ れる かも しれ ない でも 世界 平和 を 日本 は 発信 する べきだ し それ を 放てる 存在 である YOASOBI が 発信 して こそ 意味 が ある もう 一 度 John が 現れて 世界 平和 を 唱えて も 良い ,0.9134
23,POSITIVE,1,順位 が 戻った 万 歳 ‼ ︎ こ の 調子 で 1 位 を 奪還 して くれ ‼ ︎ ,0.9708
24,POSITIVE,1,自分 も この 曲 は めちゃくちゃ 好き 😆 カラオケ で よく 歌って は テンション ぶち ↑ ↑ て ます 😆 ,0.9868
25,POSITIVE,1,4 位 から 3 位 おー まだまだ 人気 ❢ ,0.9324
26,POSITIVE,1,たった 六 ヶ月 で 3 . 4億 再生 すげ ,0.8891
27,NEUTRAL,1,これ が 日本 の 人気 な 曲 か ,0.9614
28,POSITIVE,1,推し の 子 の 全然 内容 知ら なくて 最近 に なって ようやく アニメ 見た んだ けど それ 以降 この 曲 の 良 さ が 爆 上がり …… ただ で さえ 癖 に なる 曲 & 歌 な のに なんなん だ この 原作 の 再現 力 ,0.8466
29,POSITIVE,0,是非 お 時間 の 有る 時 に ずんだ もん Ver .( むらさき ずきん 様 ) の 動画 を 視聴 して みて 頂き たく 思い ます 😙 ,0.8905
30,NEGATIVE,-1,推し の 子 大 っ 嫌いだ し子 の 曲 も 大 っ 嫌い 早く なく なって くれ ,0.7362
31,NEUTRAL,0,那 は でき ます ✨ ,0.7229
32,NEUTRAL,1,日本 人 が 1 人 3 回 見 ない と この 再生 回数 に なら ない の クソワロタ ,0.6801
33,NEGATIVE,1,6 ヶ月 で 3 . 4億 回 は やば すぎ ,0.8956
34,NEGATIVE,-1,嘘 付いて る から アイドル じゃあ ない って 思う ,0.5537
35,POSITIVE,0,0 : 11 これ 明らかに 目 の 大き さ と 目 の 色 が 違う ん よ ね ルビー の 星 は 左 目 .. . 最新 話 見て て これ わかって 作って た なら 凄 すぎる ,0.7946
36,POSITIVE,1,YOAsobi ・ って 言う 人 も 好きで すー ❤ ,0.958
37,POSITIVE,0,推し の 子 の 好きな 人 は かなで す ❤ ,0.5117
